"iata","name","city","country","latitude","longitude","snapshot_outbound_routes"
"ATL","Hartsfield Jackson Atlanta International Airport","Atlanta","United States",33.6367,-84.428101,915
"ORD","Chicago O'Hare International Airport","Chicago","United States",41.9786,-87.9048,558
"PEK","Beijing Capital International Airport","Beijing","China",40.0801010131836,116.584999084473,535
"LHR","London Heathrow Airport","London","United Kingdom",51.4706,-0.461941,527
"CDG","Charles de Gaulle International Airport","Paris","France",49.012798,2.55,524
"FRA","Frankfurt am Main Airport","Frankfurt","Germany",50.033333,8.570556,497
"LAX","Los Angeles International Airport","Los Angeles","United States",33.94250107,-118.4079971,492
"DFW","Dallas Fort Worth International Airport","Dallas-Fort Worth","United States",32.896801,-97.038002,469
"JFK","John F Kennedy International Airport","New York","United States",40.63980103,-73.77890015,456
"AMS","Amsterdam Airport Schiphol","Amsterdam","Netherlands",52.308601,4.76389,453
"PVG","Shanghai Pudong International Airport","Shanghai","China",31.1434001922607,121.805000305176,411
"SIN","Singapore Changi Airport","Singapore","Singapore",1.35019,103.994003,408
"BCN","Barcelona International Airport","Barcelona","Spain",41.2971,2.07846,391
"ICN","Incheon International Airport","Seoul","South Korea",37.4691009521484,126.450996398926,370
"MIA","Miami International Airport","Miami","United States",25.7931995391846,-80.2906036376953,368
"MUC","Munich Airport","Munich","Germany",48.353802,11.7861,368
"DEN","Denver International Airport","Denver","United States",39.861698150635,-104.672996521,361
"IST","Istanbul Airport","Istanbul","Turkey",41.275278,28.751944,358
"DXB","Dubai International Airport","Dubai","United Arab Emirates",25.2527999878,55.3643989563,356
"LGW","London Gatwick Airport","London","United Kingdom",51.148102,-0.190278,356
